,ST_NAME,YEAR,AC_NO,POSITION,AC_NAME,AC_TYPE,NAME,SEX,AGE,CATEGORY,PARTY,VOTES
2314,Karnataka,1972,93,2,DEVANAHALLI,GEN,B. M. KRISHNAPPPAGOWDA,M,,,IND,24657.0
2315,Karnataka,1972,94,1,HOSAKOTE,GEN,N. CHIKKEGOWDA,M,,,INC,40227.0
2316,Karnataka,1972,94,2,HOSAKOTE,GEN,T. KEMBARAI,M,,,NCO,6937.0
2317,Karnataka,1972,94,3,HOSAKOTE,GEN,S. N. THABASAPPA,M,,,SOP,2351.0
2318,Karnataka,1972,94,4,HOSAKOTE,GEN,K. S. RAMA RAO,M,,,BJS,401.0
2319,Karnataka,1972,94,5,HOSAKOTE,GEN,KADARAMMA,M,,,IND,230.0
2320,Karnataka,1972,95,1,ANEKAL,SC,M. B. RAMASWAMY,M,,,INC,19891.0
2321,Karnataka,1972,95,2,ANEKAL,SC,M. MUNISWAMAIAH,M,,,NCO,7986.0
2322,Karnataka,1972,95,3,ANEKAL,SC,A. M. GOPAL,M,,,BJS,7750.0
2323,Karnataka,1972,95,4,ANEKAL,SC,B. MUNIVENKATAPPA,M,,,SWA,1245.0
2324,Karnataka,1972,95,5,ANEKAL,SC,V. VENKATESH,M,,,IND,764.0
2325,Karnataka,1972,96,1,NAGAMANGALA,GEN,T. N. MADAPPAGOWDA,M,,,INC,24729.0
2326,Karnataka,1972,96,2,NAGAMANGALA,GEN,H. T. KRISHNAPPA,M,,,NCO,15365.0
2327,Karnataka,1972,96,3,NAGAMANGALA,GEN,T. NATARAJ,M,,,IND,2733.0
